Date,Fatal,Serious,Slight
2016-10-2,5,54,350
2016-10-3,2,50,331
2016-10-4,5,60,239
2016-10-5,3,63,368
2016-10-6,4,62,386
2016-10-7,6,54,296
2016-10-8,8,69,294
2016-10-9,3,71,333
2016-10-10,3,61,364
2016-10-11,6,60,368
2016-10-12,5,61,256
2016-10-13,7,72,366
2016-10-14,7,79,334
2016-10-15,5,72,318
2016-10-16,6,59,255
2016-10-17,5,67,350
2016-10-18,1,68,336
2016-10-19,3,66,340
2016-10-20,7,61,304
2016-10-21,3,61,324
2016-10-22,6,56,274
2016-10-23,5,42,206
2016-10-24,8,50,266
2016-10-25,1,44,268
2016-10-26,4,60,303
2016-10-27,3,53,279
2016-10-28,6,72,330
2016-10-29,5,51,258
2016-10-30,4,49,202
2016-10-31,4,72,348
2016-11-1,3,57,370
2016-11-2,8,57,431
2016-11-3,8,49,363
2016-11-4,3,39,294
2016-11-5,3,52,351
2016-11-6,5,49,272
2016-11-7,1,60,298
2016-11-8,4,57,311
2016-11-9,3,81,231
2016-11-10,1,60,356
2016-11-11,6,87,439
2016-11-12,1,62,259
2016-11-13,5,58,224
2016-11-14,10,73,316
2016-11-15,3,68,376
2016-11-16,4,95,379
2016-11-17,7,65,360
2016-11-18,5,87,435
2016-11-19,7,65,335
2016-11-20,1,39,240
2016-11-21,4,80,381
2016-11-22,3,66,371
2016-11-23,6,64,330
2016-11-24,3,58,327
2016-11-25,10,96,460
2016-11-26,6,64,291
2016-11-27,3,41,213
2016-11-28,6,66,395
2016-11-29,9,87,425
2016-11-30,2,59,408
2016-12-1,5,66,373
2016-12-2,8,62,351
2016-12-3,4,47,256
2016-12-4,8,65,315
2016-12-5,6,60,356
2016-12-6,5,43,229
2016-12-7,5,64,338
2016-12-8,5,95,375
2016-12-9,3,57,330
2016-12-10,5,58,341
2016-12-11,3,60,345
2016-12-12,4,52,321
2016-12-13,6,58,375
2016-12-14,9,78,350
2016-12-15,6,67,337
2016-12-16,9,87,390
2016-12-17,8,56,230
2016-12-18,5,42,218
2016-12-19,,55,317
2016-12-20,6,62,315
2016-12-21,4,67,340
2016-12-22,9,59,351
2016-12-23,1,65,290
2016-12-24,8,45,221
2016-12-25,3,32,103
2016-12-26,6,38,143
2016-12-27,6,50,205
2016-12-28,3,32,251
2016-12-29,7,47,241
2016-12-30,1,35,213
2016-12-31,5,36,160
2017-1-1,4,51,187
2017-1-2,3,50,280
2017-1-3,2,51,319
2017-1-4,5,55,264
2017-1-5,1,59,202
2017-1-6,4,74,300
2017-1-7,8,68,275
2017-1-8,4,59,285
2017-1-9,4,75,316
2017-1-10,7,51,200
2017-1-11,3,77,293
2017-1-12,6,89,464
2017-1-13,4,64,340
2017-1-14,3,55,257
2017-1-15,3,44,160
2017-1-16,5,40,322
2017-1-17,3,67,331
2017-1-18,2,64,323
2017-1-19,1,61,334
2017-1-20,4,70,411
2017-1-21,4,55,297
2017-1-22,3,48,221
2017-1-23,4,50,327
2017-1-24,7,58,335
2017-1-25,2,76,347
2017-1-26,8,60,333
2017-1-27,12,57,330
2017-1-28,1,65,304
2017-1-29,7,69,272
2017-1-30,3,52,290
2017-1-31,5,63,333
2017-2-1,4,39,248
2017-2-2,2,47,345
2017-2-3,5,66,323
2017-2-4,4,73,275
2017-2-5,2,59,311
2017-2-6,4,55,319
2017-2-7,9,73,307
2017-2-8,3,34,329
2017-2-9,8,72,275
2017-2-10,4,57,270
2017-2-11,3,68,286
2017-2-12,3,50,262
2017-2-13,3,49,306
2017-2-14,3,54,335
2017-2-15,4,52,326
2017-2-16,6,65,322
2017-2-17,4,48,304
2017-2-18,5,64,228
2017-2-19,7,50,167
2017-2-20,2,41,289
2017-2-21,4,43,251
2017-2-22,4,64,283
